Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
63,2,0,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
64,5,1,0,3,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
65,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
66,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,1,0,0
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
68,4,0,0,5,0,2,1,0,0,0,0,1,2,1,0,7,1,0,0,0,1,0,0,0,0,0,2,0,0,0
69,10,0,0,10,1,2,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,4,0,1,11,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
71,13,0,1,6,0,1,1,0,6,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,6,2,1,1,0,0
72,7,0,2,8,1,1,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1
73,5,0,2,4,0,2,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
74,5,0,0,10,2,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
76,11,0,0,12,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,4,0,0,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
78,3,0,1,7,3,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1
79,5,0,1,3,1,0,1,0,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2,0
80,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
81,9,0,1,11,1,0,0,1,1,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,1,3,1,0,0
82,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
83,4,0,0,5,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
84,4,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,7,0,0,15,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
86,13,0,0,11,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
87,3,0,1,7,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,11,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,4,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
90,3,0,0,5,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0
