3026,10800
3026,23883
3029,23825
3030,23852
3033,23808
3039,21306
3040,9750
3040,10807
3046,9449
3052,20676
3053,22785
3053,23727
3054,9664
3054,11657
3054,11862
3055,21295
3056,11719
3056,11882
3059,9236
3061,23653
3064,20208
3065,20676
3069,10902
3070,21301
3072,23542
3073,20202
3074,22496
3074,23763
3075,23771
3077,22793
3079,9369
3084,23492
3084,23829
3090,23858
3096,9855
3097,9597
3098,24418
3105,23695
3106,22880
3108,10860
3108,11891
3112,9179
3114,9572
3116,9225
3120,23758
3122,8850
3122,24092
3125,22567
3126,9396
3128,11538
3130,9701
3130,9917
3132,23393
3133,23634
3137,10092
3137,10868
3138,9569
3138,9750
3139,10795
3140,9810
3140,23413
3143,10141
3148,20186
3149,9562
3149,22466
3150,10859
3150,23000
3151,9027
3151,23360
3152,11763
3153,9743
3154,9892
3154,11838
3158,23651
3162,21968
3165,24162
3167,19775
3177,24859
3178,12313
3181,24922
3182,23317
3184,19846
3184,22582
3184,24883
3186,9780
3188,12319
3190,8873
3190,9270
3191,24427
3193,20235
3194,9577
3194,19915
3198,22477
3198,23224
3200,19741
3201,19906
3202,9624
3204,21986
3207,24685
3209,8958
3210,24662
3211,9136
3211,11761
3212,9836
3212,24523
3213,9240
3215,11674
3216,9217
3217,9229
3219,23144
3219,23334
3219,23349
3224,11228
3225,9882
3230,9133
3232,19800
3234,19855
3236,9042
3242,9663
3244,24492
3248,11799
3249,8898
3250,8941
3255,9049
3256,9793
3257,24690
3264,10491
3264,10612
3266,22004
3269,11119
3272,10575
3275,11109
3275,19773
3275,21985
3276,11674
3279,10790
3280,21956
3281,9710
3281,22978
3287,19761
3303,9192
3304,21995
3305,10856
3308,9108
3308,19902
3310,9008
3311,23123
3314,9318
3322,16786
3323,19520
3324,10595
3338,10409
3340,10733
3342,9150
3346,10518
3348,9053
3348,10328
3348,11979
3352,23033
3354,10129
3355,11893
3359,8973
3361,12219
3370,19732
3377,10135
3382,11967
3382,19682
3388,23714
3389,8893
3395,19614
3396,23068
3403,11554
3405,9276
3406,10730
3409,9381
3414,23015
3415,9277
3417,10579
3417,19607
3417,22623
3420,19471
3423,11764
3424,10366
3424,11938
3425,10699
3425,23098
3428,23000
3429,9388
3429,11883
3432,9012
3432,12164
3440,10717
3441,12212
3444,23752
3445,11475
3451,11117
3453,23117
3456,11384
3466,11065
3466,11964
3469,19553
3473,10510
3474,10694
3475,9353
3487,12584
3490,11815
3491,23020
3492,22729
3495,10415
3501,22977
3504,9695
3505,9323
3513,11581
3515,22617
3516,10684
3518,22976
3523,19664
3524,23049
3525,10835
3527,9359
3527,19487
3528,11704
3542,10590
3542,11386
3543,11590
3548,12106
3549,10744
3550,19402
3557,22995
3560,22841
3562,22858
3563,10974
3564,10913
3565,10515
3568,19348
3568,23138
3571,22683
3573,11266
3575,19291
3578,9372
3583,11649
3584,22814
3588,9423
3594,10539
3597,23012
3598,10509
3599,22656
3601,10910
3603,10667
3603,22818
3605,22842
3607,23037
3609,10794
3611,9495
3611,10766
3612,9525
3614,11479
3617,9755
3619,9379
3621,10879
3623,11337
3624,9396
3625,11345
3629,19658
3634,11711
3642,11209
3643,11011
3643,11518
3643,23002
3645,11220
3651,11768
3654,9452
3654,10585
3655,11286
3655,19424
3656,10762
3660,11960
3664,22176
3664,22794
3665,23155
3666,11979
3669,23305
3670,19688
3677,10548
3677,22700
3678,11625
3678,22165
3682,10691
3684,10653
3684,11432
3684,23434
3692,9290
3694,10973
3695,11679
3697,11323
3703,23077
3707,23230
3708,22589
3709,10878
3710,19538
3713,19403
3715,11001
3716,23815
3720,11812
3720,19522
3721,22665
3723,11175
3723,11516
3728,11821
3728,22632
3731,23137
3734,24296
3735,9400
3736,10861
3748,24230
3756,19490
3757,11376
3769,9308
3769,10752
3773,22381
3776,23078
3777,24030
3778,22542
3779,23174
3779,23759
3780,23592
3780,25263
3781,11119
3781,11282
3784,11348
3785,19405
3788,23976
3789,10734
3792,9449
3797,22385
3798,24272
3798,25273
3805,10930
3815,24340
3823,9274
3823,24370
3824,19284
3825,23057
3825,24449
3826,25254
3827,10786
3828,10767
3829,10023
3830,9237
3830,24147
3832,9816
3833,19275
3833,23193
3833,25197
3834,10806
3836,23788
3841,23758
3848,10062
3848,25206
3850,22999
3850,24187
3851,10766
3863,23073
3864,24610
3865,23544
3866,10773
3866,11689
3868,9219
3869,24441
3870,9354
3874,23191
3877,9945
3877,23543
3878,23403
3879,25255
3889,24475
3891,10828
3891,22990
3891,23509
3892,11108
3892,19180
3893,9390
3893,24651
3898,9561
3908,9707
3912,23040
3915,11337
3921,22756
3922,23598
3924,10924
3926,9727
3927,11042
3928,9850
3928,22946
3930,11681
3931,25040
3937,23430
3937,23492
3940,10961
3941,24305
3943,23553
3945,8604
3947,9279
3947,24061
3947,24531
3948,9781
3949,22615
3951,9444
3952,12211
