Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
12403,198.23999999999998,3888.0,2478.0,Ex,Ex-DG,0.5,7.019224395266987,18.814074408357044,18.618582115725143,4163.04,24638.879999999997
12406,97.44,3860.0,2598.0,Glial,Glial-Microglia,0.75,13.012187556287374,18.914069739013687,18.721922978155845,2274.72,16662.239999999998
12408,30.24,3954.0,2562.0,Ex,Ex-DG,0.5,7.112117984273272,23.448051335700665,26.203328032904523,4055.52,28227.36
12409,50.4,3876.0,2610.0,Ex,Ex-5-other,0.75,8.204258040798079,18.071504364711416,18.16067179374155,5305.44,22387.68
12410,107.52,4020.0,2564.0,other,other,0.13333333333333333,5.674958639105376,26.768056458833925,33.732245700516295,0.0,32242.559999999998
12412,26.88,3794.0,2516.0,Ex,Ex-DG,0.75,9.1123117264501,16.099018855662422,15.074813431681335,2980.3199999999997,25354.559999999998
12413,218.4,3920.0,2494.0,Ex,Ex-CA1,0.375,12.322388161391448,19.076218752849712,20.45702813216035,4512.48,28358.399999999998
12416,26.88,3890.0,2196.0,Ex,Ex-DG,0.75,12.659704775388722,21.689155778187438,21.33444163787747,6484.8,24679.2
12419,30.24,3982.0,2310.0,Ex,Ex-DG,0.8571428571428571,4.8750392986380495,16.298813770952375,20.810093704738573,3474.24,40242.72
12423,161.28,3570.0,2252.0,Glial,Glial-Microglia,0.0,16.301031393436194,29.12476324529399,27.995721101625513,9320.64,17687.04
12424,23.52,4020.0,2296.0,In,In-other,1.0,10.398381349704135,14.33249484063059,13.901438774457844,917.28,19400.64
12425,23.52,3888.0,2360.0,Ex,Ex-thalamus,0.8571428571428571,3.3418801991253266,16.816644918876133,22.83724151468386,3302.8799999999997,19844.16
12429,90.72,3942.0,2206.0,Ex,Ex-CA1,0.7142857142857143,2.6039216891575907,19.49409988304518,22.705946357727527,5238.24,52748.64
12431,23.52,3766.0,2642.0,Glial,Glial-Microglia,0.5714285714285714,12.073075458242135,23.12126789196565,24.302954552893357,7560.0,21117.6
12433,30.24,4000.0,2228.0,other,other,0.3333333333333333,16.984988143128497,23.461925982773817,20.901110018369838,0.0,17522.399999999998
12434,26.88,3876.0,2294.0,Ex,Ex-1,0.5,10.716238975395056,20.83973842818038,25.033010206525304,231.84,24638.879999999997
12439,147.84,3890.0,3064.0,Glial,Glial-Microglia,0.4482758620689655,13.981874728643115,30.93131337555891,45.049528299417304,69851.04,79947.84
12440,161.28,4026.0,3176.0,Ex,Ex-5-other,0.2972972972972973,4.907030361490543,37.55003744436509,54.09278694983279,217516.31999999998,108612.0
12443,80.64,3604.0,3154.0,Ex,Ex-DG,0.8333333333333334,12.804016730871798,18.679259016229988,16.77050983124842,1743.84,53182.079999999994
12444,117.6,3974.0,3156.0,other,other,0.15053763440860216,8.571545998788146,37.88622834161287,58.51398465324337,0.0,91983.36
12445,70.56,3818.0,2932.0,Ex,Ex-CA3,0.47058823529411764,7.448189115970969,25.15063554987281,32.38116118980294,35175.84,66571.68
12446,141.12,4040.0,2980.0,other,other,0.16,15.10428482782295,43.55939423709897,52.441742915353224,0.0,48871.2
12447,154.56,3898.0,2950.0,Ex,Ex-4-Rprm+,0.3548387096774194,15.066559286741512,32.91160414934775,48.64668539582117,134030.4,78482.87999999999
12448,204.95999999999998,3552.0,2948.0,In,In-Lamp5,0.5555555555555556,11.122860454548368,23.051381365075763,25.286526056380303,6273.12,53729.759999999995
12449,60.48,3628.0,2686.0,Ex,Ex-DG,0.875,6.518552369966813,19.662447103167388,31.21868671164756,6562.08,54206.88
12451,80.64,3940.0,2860.0,Ex,Ex-3-Rorb+,0.5384615384615384,9.593110940398285,26.038581958223787,39.85062609294865,16712.64,51522.24
12452,211.67999999999998,3898.0,3040.0,other,other,0.4117647058823529,9.042111475247145,30.62124438921788,44.05524259381623,0.0,87467.51999999999
12453,87.36,3578.0,2794.0,other,other,0.5714285714285714,8.273340514284769,20.691466494421615,23.900627606822376,0.0,47923.68
12454,57.12,3566.0,2970.0,other,other,1.0,3.5557402729793957,19.871349929646925,23.6336116579756,0.0,55087.2
12455,107.52,3830.0,3116.0,Ex,Ex-5-other,0.20833333333333334,10.4150673438906,37.39281359727789,64.62480638268867,104448.95999999999,75284.16
12458,107.52,3998.0,2728.0,other,other,0.17391304347826086,5.99844945308443,30.146946150463133,34.50275930994505,0.0,75868.8
12459,73.92,3970.0,2896.0,Glial,Glial-Astrocyte,0.3333333333333333,18.36926849387313,38.34165289155968,57.22391458123081,96569.76,81392.64
12461,100.8,3894.0,2908.0,Ex,Ex-2-Nr4a2+,0.19230769230769232,16.417851807960925,34.32446900487913,38.36891450119484,94600.8,87178.56
12462,168.0,3908.0,2880.0,other,other,0.2857142857142857,14.919484589226514,34.95045525232111,45.86042302465166,0.0,55550.88
12465,80.64,3796.0,3088.0,Glial,Glial-Microglia,0.47368421052631576,10.968069698382878,30.905139410890108,37.695166798941216,44839.2,77189.28
12471,40.32,3756.0,2736.0,Ex,Ex-DG,0.6428571428571429,9.412638052216856,21.443803647109775,26.283028744800323,14293.439999999999,72340.8
12477,114.24,3600.0,2956.0,Ex,Ex-DG,0.8571428571428571,7.842792089243368,20.57298293605657,21.00318071150177,5130.72,49828.799999999996
12481,120.96,3812.0,2912.0,Ex,Ex-CA1,0.4,19.4993480916672,26.588573463353963,23.315368322203277,13114.08,54264.0
12482,154.56,3696.0,2814.0,Ex,Ex-DG,0.7142857142857143,5.653531314720842,16.04251673579613,22.12242301376592,2620.7999999999997,48535.2
12483,36.96,3990.0,2850.0,other,other,0.32558139534883723,16.993007921673875,35.30206120665787,52.96033987806347,0.0,80727.36
12489,120.96,3680.0,2892.0,other,other,0.7142857142857143,7.647544090245259,19.337225767046473,22.62321816187962,0.0,53867.52
12490,204.95999999999998,3550.0,3014.0,Ex,Ex-4-Rprm+,0.3333333333333333,11.118625014911974,25.21837467242627,24.61922825760385,8430.24,42984.479999999996
12496,117.6,3630.0,2738.0,In,In-Lamp5,0.75,5.3262416392799885,19.492074170719864,23.39088711442984,4482.24,54589.92
12498,137.76,3860.0,2972.0,Ex,Ex-4-Rprm+,0.2727272727272727,8.302500668796908,31.557214707137803,39.45174774328762,81140.64,33048.96
12499,141.12,3562.0,3014.0,In,In-Lamp5,0.8333333333333334,9.303882104918538,18.000035202606945,18.86988076273933,1952.1599999999999,48854.4
12501,50.4,3798.0,2724.0,Ex,Ex-4-Rprm+,0.7,9.972963451251692,22.181716397705465,24.997287852885158,11192.16,46368.0
12504,100.8,3936.0,3046.0,other,other,0.2962962962962963,15.488609098204448,31.57494478789044,45.51582581915877,0.0,79386.72
12506,151.2,3876.0,2816.0,In,In-other,0.5,13.204218113920977,25.152604607978013,30.696742498187007,15560.16,71285.76
12507,184.79999999999998,3690.0,3136.0,other,other,0.5,13.999654360812622,29.532057149522345,35.73350808414981,0.0,81295.2
12510,178.07999999999998,3598.0,2960.0,other,other,0.8,6.181047160473802,21.95233535656226,24.881165567553303,0.0,49082.88
12513,57.12,3918.0,3030.0,Ex,Ex-1,0.14634146341463414,7.475220632056085,36.32614265864217,56.969637527370665,179914.56,85159.2
12514,87.36,3906.0,2804.0,In,In-Lamp5,0.35,19.69828104175587,30.021537712292407,27.942519571434495,35017.92,66880.8
12518,154.56,3756.0,2870.0,Ex,Ex-thalamus,0.375,6.932187605655237,25.15928671034561,27.740583988085042,11064.48,47648.159999999996
12519,43.68,3770.0,2692.0,Ex,Ex-DG,0.6666666666666666,10.846709690551817,24.515308450647797,25.522703618543236,12190.08,60893.28
12521,124.32,3950.0,2848.0,other,other,0.2727272727272727,4.532884801988509,32.422950894159165,46.8735917121784,0.0,83522.87999999999
12522,84.0,3602.0,2978.0,other,other,0.4444444444444444,10.693899495495264,16.986398195409908,17.650484412615988,0.0,45141.6
12523,60.48,3694.0,3140.0,Ex,Ex-CA1,0.5714285714285714,5.707567479286929,21.415280590161416,26.82423531062908,6068.16,43391.04
12527,53.76,3788.0,2956.0,Glial,Glial-Astrocyte,0.8333333333333334,8.309870971053424,18.74079278325873,20.006249023742555,1333.9199999999998,61320.0
12530,90.72,3816.0,3008.0,Ex,Ex-CA1,0.25,23.50903496530643,36.98191193336183,37.967717866629805,32077.92,53639.04
12533,33.6,3814.0,2764.0,Ex,Ex-DG,0.42857142857142855,10.768396693423915,24.015056473311407,24.932942064666175,6562.08,56941.92
12538,104.16,3804.0,2742.0,other,other,0.6666666666666666,6.522238879403298,18.896178821428087,24.836593969383163,0.0,50453.759999999995
12540,141.12,3834.0,2708.0,other,other,0.8888888888888888,9.034256888691015,13.609253125050879,21.921213470061367,0.0,48807.36
12541,120.96,3556.0,2680.0,In,In-other,0.14285714285714285,22.446046695240263,37.25927716554134,39.45975671491146,10792.32,52503.36
12545,107.52,3714.0,2688.0,other,other,0.3333333333333333,15.882112929680007,21.957205722453534,18.662518586728854,0.0,41401.92
12547,57.12,3556.0,2720.0,In,In-Pvalb,0.2727272727272727,9.139214209309005,35.785524147235094,48.70615977471433,84624.95999999999,67734.23999999999
12549,147.84,3570.0,2750.0,Ex,Ex-DG,0.8333333333333334,4.922808593114787,20.29556367216585,22.938142906521445,1955.52,49721.28
12551,120.96,4012.0,3048.0,Ex,Ex-4-Rprm+,0.0,21.272580463704273,46.37714200289254,70.31848974487436,135915.36,46828.32
12552,194.88,4014.0,3100.0,other,other,0.08,13.001673836856403,34.38561887970331,45.72537588691864,0.0,79453.92
12557,191.51999999999998,3856.0,2992.0,Ex,Ex-thalamus,0.22727272727272727,7.191728260432449,31.322539162691957,48.70615977471432,84420.0,78398.87999999999
12558,147.84,3616.0,2768.0,Ex,Ex-DG,0.75,10.217027454206054,19.64834504066432,18.547517354082725,6592.32,48612.479999999996
12561,208.32,3820.0,2860.0,In,In-other,0.3333333333333333,18.142312727739917,25.482161359213773,22.268012933353532,3827.04,55476.96
12562,47.04,3786.0,2896.0,Ex,Ex-DG,0.6923076923076923,10.609289666086651,22.429299886525047,25.55528125456654,17818.079999999998,72347.52
12568,181.44,3722.0,3076.0,other,other,0.0625,21.040614594160523,31.134327241529476,32.88847214450681,0.0,37598.4
12569,97.44,3552.0,2938.0,Ex,Ex-1,0.8888888888888888,8.827863855254781,19.369574978044653,22.729153085849898,6578.88,48031.2
12571,67.2,3724.0,3068.0,Ex,Ex-CA1,0.0,22.469212516488074,23.939067983088776,10.383159442096613,97.44,41183.52
12581,40.32,3698.0,3108.0,Glial,Glial-Microglia,0.75,11.408512416417517,21.222894519273833,24.023605058358743,7039.2,63446.88
12586,47.04,3596.0,2892.0,Ex,Ex-thalamus,0.8333333333333334,9.017893323831236,18.896906515772645,22.96715045450785,3820.3199999999997,55120.799999999996
12592,36.96,3714.0,2680.0,Ex,Ex-DG,1.0,5.322842285846914,20.160723044918175,23.533168082517065,7035.84,62811.84
12593,60.48,3606.0,2766.0,Ex,Ex-thalamus,0.42857142857142855,8.084578415926549,24.290912731934473,32.939860351859416,26930.399999999998,53175.36
12596,43.68,3666.0,2700.0,Ex,Ex-DG,1.0,6.777130752358739,18.301401919768548,22.445712285423244,7170.24,58554.72
12597,40.32,3572.0,3180.0,In,In-Lamp5,0.9,2.1391736722388157,22.84791547646816,24.15155481537369,14854.56,56703.36
12598,67.2,3698.0,3062.0,Ex,Ex-DG,0.7272727272727273,5.861882472013801,19.06194115964379,22.827930260976355,11222.4,37924.32
12600,50.4,3576.0,3134.0,Glial,Glial-Microglia,1.0,6.6549941351422355,17.434575188220837,17.60296565922913,2869.44,63120.96
12602,90.72,3560.0,2976.0,other,other,1.0,4.112039069138606,17.32296653415531,18.504096843672215,0.0,45024.0
12608,107.52,3744.0,2834.0,Ex,Ex-DG,0.42857142857142855,11.548215163798593,21.218233535958063,20.05259085504913,6777.12,43031.52
12609,141.12,3620.0,2836.0,Ex,Ex-DG,0.7142857142857143,11.102673331321652,18.55874888411835,18.107026260543176,2731.68,45558.24
12613,33.6,3630.0,2718.0,Ex,Ex-DG,0.5454545454545454,4.761034681628384,22.31906968548565,32.73850943460926,19837.44,42463.68
12615,144.48,3758.0,2688.0,other,other,0.7142857142857143,6.496376383988909,18.325700755557175,18.524535081885322,0.0,44829.119999999995
12616,40.32,3778.0,2804.0,other,other,0.5,9.932688659169596,23.166185949289236,25.0047115560248,0.0,67421.76
12618,90.72,3560.0,2880.0,Glial,Glial-Microglia,0.5,7.271723011471089,20.475160004477186,25.61269997481718,4304.16,46898.88
12619,141.12,3838.0,2788.0,Ex,Ex-thalamus,0.5714285714285714,7.064863330422647,19.586001087822417,21.155613912151075,6531.84,44241.119999999995
12620,87.36,3612.0,2832.0,other,other,1.0,5.237637826348827,15.95549574966449,18.984425195406892,0.0,52614.24
12623,87.36,3590.0,2920.0,In,In-Lamp5,0.7692307692307693,6.308239375901111,19.05631912928629,24.089366948925825,9592.8,50198.4
12628,104.16,3626.0,2800.0,Glial,Glial-Microglia,0.5714285714285714,3.109017825091277,21.36925760717013,22.434295175021656,11178.72,52053.119999999995
12629,201.6,3592.0,2712.0,Ex,Ex-1,0.42857142857142855,13.996665492107853,22.75432031364656,20.406508765587525,6874.5599999999995,48320.159999999996
12630,40.32,3642.0,2836.0,In,In-Lamp5,0.8571428571428571,6.398594233366139,21.915226867150647,21.391923709662017,9478.56,78405.59999999999
12638,127.67999999999999,3648.0,2904.0,In,In-Lamp5,0.8333333333333334,9.68918985261408,19.71816770831437,19.95260384010067,3202.08,40289.76
12641,120.96,3666.0,2764.0,In,In-Sst,0.8333333333333334,8.073319570590888,17.027682771806663,17.228174598604465,2889.6,41391.84
12644,80.64,3812.0,2708.0,other,other,0.7142857142857143,5.774033358449817,18.52813526254941,21.601074047370883,0.0,39426.24
12651,154.56,3640.0,3166.0,In,In-Lamp5,0.1111111111111111,9.59581801915745,29.316261342722076,36.3323547268822,15271.199999999999,50161.439999999995
12655,144.48,3748.0,3036.0,Ex,Ex-4-Rprm+,0.2857142857142857,14.305368194621206,23.828044931956168,23.782480947117353,2133.6,31143.84
12658,171.35999999999999,3672.0,2850.0,other,other,0.5714285714285714,3.784052465442707,21.883478473283496,24.20248747546417,0.0,42463.68
12662,127.67999999999999,3780.0,3100.0,Ex,Ex-DG,0.14285714285714285,33.33933143313101,40.970851476007546,28.696870909560857,7156.8,45763.2
12668,114.24,3826.0,2862.0,In,In-other,0.7142857142857143,10.43056888894057,17.64236415435696,18.649117941607855,2936.64,35044.799999999996
12669,73.92,3780.0,2862.0,Ex,Ex-CA1,0.3333333333333333,9.383351687371112,22.856578833767077,25.070851601012677,5681.76,41889.119999999995
12670,33.6,3810.0,2946.0,other,other,1.0,7.068383439262869,14.24264983770758,14.916433890176299,0.0,33774.72
12675,36.96,3574.0,2936.0,Ex,Ex-DG,0.875,5.786959477998787,22.706273187201415,26.67679890841478,9411.359999999999,59656.799999999996
12683,67.2,3812.0,2794.0,Ex,Ex-4-Rprm+,0.4444444444444444,8.616636220305836,20.042701921358358,22.87434370643232,3931.2,30135.84
12684,188.16,3860.0,2688.0,Glial,Glial-Astrocyte,0.8333333333333334,7.711163624541058,20.60183178744854,22.575464557789285,1374.24,45410.4
12685,194.88,3610.0,2684.0,Ex,Ex-DG,0.6666666666666666,1.8803782125470092,20.65047218887739,22.700167400263815,5994.24,43505.28
12689,50.4,3642.0,3022.0,In,In-Sst,0.6666666666666666,8.815930025937329,21.101721342260475,23.510857066470372,2761.92,52617.6
12697,141.12,3624.0,2942.0,Ex,Ex-DG,0.75,8.376329745180756,21.35166358319531,24.42147415697914,6521.759999999999,40669.439999999995
12699,137.76,3566.0,2974.0,Ex,Ex-thalamus,0.6666666666666666,5.279768513444047,20.093171547441358,22.656619341817084,4660.32,36953.28
12710,114.24,3846.0,2758.0,Ex,Ex-DG,0.5,5.961193020043865,21.28900413761847,21.231994724942826,7889.28,41593.439999999995
12711,94.08,3654.0,2842.0,Ex,Ex-DG,0.7777777777777778,1.4037269615976633,17.165204695041925,21.45436086207184,4814.88,47379.36
12715,33.6,3840.0,2732.0,Ex,Ex-DG,0.5714285714285714,7.259653109158021,22.83677470671245,27.228815618752133,9424.8,52547.04
12716,174.72,3568.0,2740.0,other,other,1.0,11.528752344128486,18.930560636843527,18.200274723201296,0.0,36563.52
12718,114.24,3568.0,2786.0,In,In-Lamp5,0.5,8.50646812725469,24.08538677523948,29.306251892727598,3934.56,32313.12
12723,134.4,3764.0,2760.0,In,In-other,0.625,6.474235476100637,17.833664063214425,20.168301862080504,6961.92,39611.04
12728,50.4,3778.0,2772.0,Ex,Ex-4-Rprm+,0.1111111111111111,4.216794171692671,24.672522340194593,24.128622007897594,19014.239999999998,39083.52
12735,60.48,3656.0,2896.0,In,In-other,1.0,5.078346187490569,15.649710120702833,15.404207217510416,2224.3199999999997,39900.0
12736,53.76,3726.0,2788.0,other,other,0.42857142857142855,12.043742045102858,20.829581049775708,20.964016790682077,0.0,40578.72
12741,127.67999999999999,3802.0,2782.0,Ex,Ex-DG,0.8333333333333334,3.8810078874209104,16.28996230035651,18.86535448911576,1179.36,35437.92
12744,50.4,3786.0,2858.0,In,In-Lamp5,0.8888888888888888,6.523967587781049,19.343067619621685,21.619472704023103,6468.0,41889.119999999995
12745,198.23999999999998,3584.0,3042.0,Ex,Ex-4-Rprm+,0.3,14.378177353197437,23.43243320624028,27.90923861376372,6394.08,40649.28
12749,57.12,3904.0,2704.0,In,In-Lamp5,0.7142857142857143,11.2219740705823,21.441805408772478,26.248535197225774,2422.56,55853.28
12751,137.76,3786.0,2716.0,other,other,0.5714285714285714,11.302604359444032,18.08395129749778,19.45254739102311,0.0,38398.08
12763,100.8,3600.0,2884.0,In,In-other,0.2857142857142857,5.7484521430398,22.62970610665366,24.73237554300031,8531.039999999999,40367.04
12764,188.16,3648.0,2688.0,Ex,Ex-4-Rprm+,0.625,13.004288715650693,22.91945207530798,22.768434289603665,7008.96,44919.84
12769,94.08,3766.0,3142.0,Ex,Ex-CA1,0.0,15.7283708628707,30.15032575718169,37.69516679894121,17361.12,27377.28
12774,194.88,3768.0,2850.0,In,In-Vip,0.3333333333333333,10.856004994676644,22.969319211922482,25.88803584669953,2499.8399999999997,49449.119999999995
12775,100.8,3608.0,3032.0,Glial,Glial-Microglia,0.8571428571428571,7.244175140717311,16.29675569212715,20.046356277388664,1837.9199999999998,34705.44
12785,188.16,3666.0,3040.0,Glial,Glial-Microglia,0.6666666666666666,10.42260150932672,16.19623221317411,19.361415237528483,1811.04,32988.479999999996
12786,33.6,3564.0,3008.0,Glial,Glial-Astrocyte,0.42857142857142855,15.023953663183022,21.222456876261052,22.08529827736089,3104.64,63443.52
12787,147.84,3638.0,2744.0,other,other,0.6666666666666666,3.5536897882497844,17.91340825664662,20.16983886896472,0.0,24544.8
12802,204.95999999999998,3788.0,2808.0,Ex,Ex-thalamus,0.8333333333333334,7.309032463709428,18.783010039923045,23.862279857549236,3333.12,37128.0
12804,73.92,3764.0,2728.0,Ex,Ex-DG,0.7142857142857143,10.48779893641226,20.140089754142014,20.925018518510324,2822.4,34090.56
12807,107.52,3888.0,2712.0,other,other,0.8571428571428571,7.844840238484556,17.55725927957112,21.966784015872694,0.0,34725.6
12812,124.32,3598.0,3096.0,Ex,Ex-DG,0.7777777777777778,6.65527025914232,18.056467249080523,23.18966148955176,1552.32,37682.4
12814,137.76,3932.0,3054.0,In,In-Lamp5,0.10526315789473684,11.221299296192614,31.995134706017833,46.42672075432423,61269.6,25969.44
12817,161.28,3722.0,2852.0,other,other,0.6666666666666666,9.532340274618289,20.338802700858256,18.195054273071023,0.0,33267.36
12821,50.4,3700.0,2952.0,Ex,Ex-CA1,0.2857142857142857,4.214974277888955,21.430443649348927,23.837692841380438,8897.279999999999,31174.079999999998
12823,124.32,3602.0,3064.0,other,other,0.75,7.363484229629327,17.375108114197854,20.433785748118236,0.0,39604.32
12825,47.04,3664.0,3080.0,Ex,Ex-DG,1.0,4.249700643051814,17.714286783751096,20.063389544142336,1189.44,41375.04
12830,201.6,3726.0,2958.0,In,In-Lamp5,0.5,18.912694149697472,21.49690735797895,15.741982086128802,1196.1599999999999,25317.6
12833,161.28,3626.0,2686.0,other,other,0.6666666666666666,7.292419199262959,19.820001786977432,23.486302390968234,0.0,40813.92
12837,117.6,3790.0,2688.0,Ex,Ex-CA1,0.9090909090909091,13.124232334889546,17.722087003495414,15.652475842498529,3077.7599999999998,38734.08
12840,77.28,3578.0,3112.0,Glial,Glial-Microglia,0.5,11.724463996277192,18.499189573006618,19.1637678967368,6629.28,32561.76
12846,147.84,3796.0,2936.0,Ex,Ex-DG,0.8888888888888888,8.439296676563778,18.11630900349423,21.34854561791036,4011.8399999999997,32682.719999999998
