Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
24,16,1,0,10,0,18,1,0,1,28,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,4,1,0,0,2
25,14,6,0,17,0,32,0,2,1,33,0,0,0,0,1,1,4,9,2,1,2,1,0,0,2,7,1,3,0,5
26,3,3,0,13,0,8,0,0,1,7,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,2,2,1,0,0
27,0,0,0,3,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,3,3,0,0
28,3,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
29,19,7,0,22,0,25,1,2,3,23,0,0,0,0,4,0,0,5,0,0,1,1,0,1,2,5,0,2,0,0
30,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
31,6,0,0,3,0,8,0,0,0,5,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
32,2,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
33,10,3,0,14,0,4,1,0,0,6,0,1,0,0,4,0,0,2,0,0,0,2,0,0,3,4,0,1,0,0
34,11,0,0,11,1,10,1,0,0,14,0,0,0,0,0,0,0,3,0,0,0,1,0,0,3,3,0,0,0,0
35,2,1,0,2,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0
36,10,1,0,15,0,16,1,1,2,12,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,4,1,2,0,0
37,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
38,6,0,0,4,0,6,0,0,0,6,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,3,0,1,0,0
39,7,2,0,14,0,7,0,0,0,9,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
40,9,2,0,5,0,3,0,2,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,2,0,1
41,6,0,0,6,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0
42,2,0,0,5,0,1,0,0,0,6,0,0,0,0,1,0,1,1,0,7,0,1,0,1,0,2,2,3,1,3
43,1,4,0,3,0,8,0,1,0,13,0,0,0,1,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0
44,12,1,0,8,0,8,1,0,2,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,2,0,2
45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
46,12,0,0,19,0,10,0,0,0,23,1,0,0,0,0,0,0,2,1,0,1,0,1,0,1,4,0,3,0,0
47,3,1,0,4,1,0,0,2,0,4,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,1,1,2,1,1
